t,x,v
82.94,0.5063626450008404,0.41981758337426356
82.96000000000001,0.5147589966683257,0.412289031797661
82.98,0.523004777304279,0.39917846079966635
83.0,0.5309883465202723,0.3794091736205727
83.02,0.5385765299926837,0.3524573031332208
83.04,0.5456256760553481,0.31841089100291414
83.06,0.5519938938754063,0.2779694835508578
83.08,0.5575532835464234,0.23238424624436108
83.10000000000001,0.5622009684713106,0.18334441939595464
83.12,0.5658678568592297,0.13282118854523098
83.14,0.5685242806301343,0.08288421013536187
83.16,0.5701819648328416,0.035508708579151435
83.18,0.5708921390044246,-0.0076080172520010605
83.2,0.5707399786593845,-0.04520276192980902
83.22,0.5698359234207884,-0.07656001496678895
83.24,0.5683047231214526,-0.1015719221631125
83.26,0.5662732846781904,-0.12073878385851475
83.28,0.5638585090010201,-0.13511008771683594
83.3,0.5611563072466834,-0.1461718942537235
83.32000000000001,0.558232869361609,-0.15569164415463496
83.34,0.5551190364785162,-0.16553562353457257
83.36,0.5518083240078248,-0.17747699876121514
83.38,0.5482587840326004,-0.1930132544103607
83.4,0.5443985189443932,-0.21321094610572322
83.42,0.5401343000222787,-0.23859300465459554
83.44,0.5353624399291868,-0.26907966091512486
83.46000000000001,0.5299808467108843,-0.30398881012100415
83.48,0.5239010705084642,-0.3420958139305651
83.5,0.5170591542298529,-0.3817469180166953
83.52,0.509424215869519,-0.42101521232887573
83.54,0.5010039116229416,-0.4578838942239825
83.56,0.4918462337384619,-0.4904389193793474
83.58,0.482037455350875,-0.517052203658011
83.60000000000001,0.4716964112777148,-0.5365374611320843
83.62,0.4609656620550731,-0.5482634390444694
83.64,0.45000039327418373,-0.5522134777120934
83.66,0.43895612371994186,-0.5489855743429747
83.68,0.42797641223308236,-0.5397329504687745
83.7,0.4171817532237069,-0.5260509434249294
83.72,0.4066607343552083,-0.5098212932841016
83.74,0.39646430848952624,-0.49302906387858925
83.76,0.38660372721195446,-0.4775701121315034
83.78,0.3770523249693244,-0.4650679419651735
83.8,0.3677509661300209,-0.4567178573269144
83.82000000000001,0.35861660898348263,-0.4531736536070019
83.84,0.34955313591134257,-0.4544879198095084
83.86,0.3404633775151524,-0.4601117731742696
83.88,0.331261142051667,-0.4689540275229303
83.9,0.3218820615012084,-0.4794939761703731
83.92,0.31229218197780095,-0.4899367195624145
83.94,0.30249344758655267,-0.49839580085613183
83.96000000000001,0.29252553156943,-0.5030852373517314
83.98,0.2824638268223954,-0.5025021139027004
84.0,0.2724137845443414,-0.4955818264143921
84.02,0.26250214801605354,-0.48181073904880944
84.04,0.25286593323507733,-0.4612851858962142
84.06,0.24364022951715306,-0.4347109987501236
84.08,0.23494600954215059,-0.4033435632455278
84.10000000000001,0.22687913827724004,-0.3688742262323579
84.12,0.2195016537525929,-0.33327412810009516
84.14,0.212836171190591,-0.2986107008583776
84.16,0.20686395717342346,-0.26685474821136645
84.18,0.20152686220919613,-0.2396969457514063
84.2,0.196732923294168,-0.21839167749944913
84.22,0.192365089744179,-0.2036434495765659
84.24,0.1882922207526477,-0.19554695469175148
84.26,0.18438128165881268,-0.1935866102773846
84.28,0.180509549453265,-0.19669557248168715
84.3,0.17657563800363127,-0.20336840759470676
84.32000000000001,0.17250826985173714,-0.21181635159913256
84.34,0.1682719428197545,-0.2201499213854538
84.36,0.1638689443920454,-0.22657096565477616
84.38,0.15933752507894988,-0.2295553215410545
84.4,0.1547464186481288,-0.22800816475898245
84.42,0.15018625535294916,-0.22137681638400808
84.44,0.145758719025269,-0.2097099363087797
84.46000000000001,0.1415645202990934,-0.19365728409464766
84.48,0.13769137461720043,-0.17441004836292912
84.5,0.13420317364994186,-0.15358756629103798
84.52,0.1311314223241211,-0.13308150543671632
84.54,0.12846979221538676,-0.1148727470241063
84.56,0.12617233727490465,-0.1008388850877997
84.58,0.12415555957314865,-0.09257117759700788
84.60000000000001,0.1223041360212085,-0.09121886363182824
84.62,0.12047975874857193,-0.09737608509851735
84.64,0.11853223704660158,-0.11102248424061892
84.66,0.11631178736178921,-0.13152329722984618
84.68,0.11368132141719228,-0.15768894339123538
84.7,0.11052754254936757,-0.18788828888992726
84.72,0.10676977677156903,-0.22020451274036665
84.74,0.1023656865167617,-0.25261833577914056
84.76,0.09731331980117888,-0.28320069767242767
84.78,0.09164930584773033,-0.31029604499765295
84.8,0.08544338494777727,-0.33267831518784863
84.82000000000001,0.07878981864402029,-0.34966437641624537
84.84,0.07179653111569538,-0.3611738504397237
84.86,0.06457305410690091,-0.36772949611190714
84.88,0.05721846418466277,-0.37039815173475155
84.9,0.04981050114996774,-0.3706780548842669
84.92,0.0423969400522824,-0.37034360906439734
84.94,0.03499006787099446,-0.3712628335276355
84.96000000000001,0.027564811200441748,-0.3752054079506535
84.98,0.02006070304142868,-0.3836601454795675
85.0,0.012387500131837328,-0.3976798057219316
85.02,0.004433904017398696,-0.41776848380227666
85.04,-0.0039214656586468374,-0.4438226445038241
85.06,-0.012797918548723319,-0.4751316196926329
85.08,-0.022300550942575978,-0.5104375666477902
85.10000000000001,-0.03250930227553178,-0.5480490643599043
85.12,-0.04347028356272987,-0.5859972740677339
85.14,-0.05519022904408455,-0.6222194232651732
85.16,-0.06763461750938801,-0.6547516970291336
